Date,Area harvested - ha,Yield - hg/ha,Production - tonnes,Seed - tonnes
2016-12-31,3370000.0,27190.0,9163030.0,157500.0
2015-12-31,3540000.0,25018.0,8856302.0,157500.0
2014-12-31,3500000.0,28500.0,9975000.0,157500.0
2013-12-31,3080000.0,29500.0,9086000.0,157500.0
2012-12-31,2920000.0,14880.0,4344960.0,138600.0
2011-12-31,2805467.0,29620.0,8309793.0,131400.0
2010-12-31,2671059.0,27931.0,7460435.0,126246.0
2009-12-31,2570000.0,15000.0,3855000.0,120198.0
2008-12-31,2463510.0,25621.0,6311794.0,115650.0
2007-12-31,2400000.0,25000.0,6000000.0,110858.0
2006-12-31,2200000.0,17273.0,3800000.0,108000.0
2005-12-31,1970000.0,20244.0,3988000.0,99000.0
2004-12-31,1870000.0,19164.0,3583680.0,88650.0
2003-12-31,1474148.0,28524.0,4204865.0,84150.0
2002-12-31,1445360.0,22832.0,3300000.0,66337.0
2001-12-31,1350000.0,26008.0,3511050.0,65041.0
2000-12-31,1176460.0,25331.0,2980058.0,60750.0
1999-12-31,1165748.0,26189.0,3053005.0,52941.0
1998-12-31,1086043.0,26295.0,2855742.0,52459.0
1997-12-31,939652.0,28415.0,2670003.0,48872.0
1996-12-31,833005.0,28749.0,2394794.0,42284.0
1995-12-31,735503.0,30076.0,2212109.0,37485.0
1994-12-31,694117.0,25872.0,1795792.0,33098.0
1993-12-31,634993.0,28245.0,1793544.0,31235.0
1992-12-31,594720.0,20044.0,1192074.0,28575.0
1991-12-31,552657.0,18686.0,1032676.0,28204.0
1990-12-31,899900.0,19942.0,1794618.0,24870.0
1989-12-31,851300.0,18966.0,1614573.0,40496.0
1988-12-31,765500.0,18385.0,1407362.0,38309.0
1987-12-31,673500.0,19451.0,1310000.0,34448.0
1986-12-31,539300.0,15019.0,810000.0,30308.0
1985-12-31,718800.0,16311.0,1172467.0,24269.0
1984-12-31,638800.0,15269.0,975404.0,32346.0
1983-12-31,576800.0,14732.0,849733.0,28746.0
1982-12-31,502200.0,15066.0,756600.0,25956.0
1981-12-31,396100.0,19217.0,761200.0,22599.0
1980-12-31,475300.0,11304.0,537300.0,17825.0
1979-12-31,360300.0,15243.0,549200.0,21389.0
1978-12-31,272200.0,12238.0,333130.0,16214.0
1977-12-31,228800.0,16471.0,376859.0,12249.0
1976-12-31,173400.0,16352.0,283547.0,10296.0
1975-12-31,150200.0,14653.0,220086.0,7803.0
1974-12-31,127300.0,14239.0,181262.0,6759.0
1973-12-31,81381.0,15058.0,122541.0,5729.0
1972-12-31,75800.0,12810.0,97100.0,3662.0
1971-12-31,54600.0,13791.0,75300.0,3411.0
1970-12-31,28300.0,14591.0,41293.0,2457.0
1969-12-31,12220.0,27968.0,34177.0,1274.0
1968-12-31,8400.0,33938.0,28508.0,550.0
1967-12-31,12860.0,14316.0,18411.0,378.0
1966-12-31,14280.0,15095.0,21555.0,579.0
1965-12-31,11250.0,19248.0,21654.0,643.0
1964-12-31,6250.0,30557.0,19098.0,506.0
1963-12-31,4500.0,18371.0,8267.0,281.0
1962-12-31,1800.0,16111.0,2900.0,203.0
1961-12-31,1300.0,16154.0,2100.0,81.0
